,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,cidreira,18,BR,1586622961,56,-30.18,-50.21,21.9,3.38
88,san cristobal,40,VE,1586623311,46,7.77,-72.22,33.0,7.2
89,guane,0,CU,1586623465,43,22.2,-84.09,32.29,3.82
90,westport,75,US,1586623182,31,41.14,-73.36,10.56,8.7
91,pisco,20,PE,1586623176,30,-13.7,-76.22,23.33,5.1
92,lianzhou,63,CN,1586623465,75,24.78,112.38,10.97,3.08
93,namibe,4,AO,1586623193,67,-15.2,12.15,25.2,2.69
94,vaini,20,TO,1586623168,100,-21.2,-175.2,18.0,1.5
95,butaritari,78,KI,1586623166,76,3.07,172.79,28.76,5.71
96,banepa,75,NP,1586623465,82,27.63,85.52,16.0,1.0
97,chapais,90,CA,1586623095,63,49.78,-74.85,-1.0,4.1
98,souillac,75,MU,1586623176,88,-20.52,57.52,25.56,7.7
99,boca do acre,70,BR,1586623465,63,-8.75,-67.4,30.71,1.27
100,chuy,24,UY,1586623164,55,-33.7,-53.46,21.37,2.85
101,yellowknife,20,CA,1586623163,60,62.46,-114.35,-12.78,4.1
102,nchelenge,81,ZM,1586623466,60,-9.35,28.73,22.93,2.85
103,kurilsk,93,RU,1586623466,94,45.23,147.88,-3.6,4.71
104,yerofey pavlovich,0,RU,1586623466,75,53.97,121.97,0.14,1.23
105,zyryanka,4,RU,1586623466,93,65.75,150.85,-9.23,2.55
106,fort nelson,75,CA,1586623162,57,58.81,-122.7,-5.0,1.72
107,sao joao da barra,75,BR,1586623466,69,-21.64,-41.05,26.0,2.6
108,along,34,IN,1586623466,47,28.17,94.77,19.31,1.73
109,san juan,69,AR,1586623466,28,-31.54,-68.54,25.9,3.72
110,saint george,1,US,1586623467,62,37.1,-113.58,13.89,2.18
111,elbistan,0,TR,1586623426,36,38.21,37.2,7.54,4.92
112,atar,0,MR,1586623208,9,20.52,-13.05,37.18,5.73
113,kaitangata,87,NZ,1586623001,96,-46.28,169.85,10.0,1.34
114,playas,100,EC,1586623467,81,-2.63,-80.38,25.2,3.49
115,vestmannaeyjar,90,IS,1586623170,93,63.44,-20.27,7.0,2.1
116,maholi,0,IN,1586623467,18,27.67,80.47,29.15,3.07
117,isangel,37,VU,1586623204,61,-19.55,169.27,25.16,3.85
118,nador,90,MA,1586623467,77,35.17,-2.93,17.0,5.7
119,sangar,100,RU,1586623467,98,63.92,127.47,-3.16,1.09
120,wanning,46,CN,1586623166,89,18.8,110.4,23.93,1.66
121,araouane,0,ML,1586623467,8,18.9,-3.53,36.62,2.21
122,codrington,64,AU,1586623468,73,-38.27,141.97,10.76,5.23
123,vaitape,100,PF,1586623203,73,-16.52,-151.75,28.77,4.18
124,maragogi,53,BR,1586623468,61,-9.01,-35.22,30.1,4.83
125,yumen,82,CN,1586623464,21,40.28,97.2,8.3,3.13
126,kudahuvadhoo,5,MV,1586623468,63,2.67,72.89,29.59,1.54
127,staryy nadym,100,RU,1586623468,97,65.61,72.68,-0.01,6.81
128,atuona,97,PF,1586623170,72,-9.8,-139.03,27.93,3.57
129,bilma,99,NE,1586623468,12,18.69,12.92,29.4,2.53
130,arlit,74,NE,1586623180,9,18.74,7.39,33.99,2.76
131,upata,95,VE,1586623469,21,8.01,-62.4,35.71,4.32
132,sukpak,37,RU,1586623469,65,51.67,94.63,1.3,0.66
133,petropavlovsk-kamchatskiy,75,RU,1586623188,74,53.05,158.65,-1.0,2.0
134,wahiawa,90,US,1586623469,88,21.5,-158.02,23.0,1.5
135,half moon bay,90,US,1586623164,87,37.46,-122.43,13.0,1.5
136,micheweni,100,TZ,1586623199,83,-4.97,39.83,27.16,6.58
137,ville-marie,91,CA,1586623469,69,47.33,-79.43,2.8,3.21
138,sainte-rose,75,GP,1586623469,62,16.33,-61.7,30.0,4.6
139,saint-joseph,48,RE,1586623418,69,-21.37,55.62,26.0,6.2
140,east london,100,ZA,1586623390,74,-33.02,27.91,23.36,5.76
141,portland,75,US,1586623162,70,45.52,-122.68,10.56,0.67
142,bengkulu,37,ID,1586622986,79,-3.8,102.27,26.26,1.22
143,quatre cocos,75,MU,1586623201,88,-20.21,57.76,25.56,7.7
144,kapaa,20,US,1586623158,83,22.08,-159.32,24.0,4.6
145,dikson,100,RU,1586623165,92,73.51,80.55,-10.26,2.62
146,lebu,0,CL,1586623163,56,-37.62,-73.65,15.39,7.26
147,opuwo,41,NA,1586623470,36,-18.06,13.84,25.28,2.98
148,severo-kurilsk,57,RU,1586623178,94,50.68,156.12,-2.83,4.89
149,tasiilaq,40,GL,1586623185,90,65.61,-37.64,0.0,10.3
150,barkaker,90,NO,1586623470,100,59.32,10.38,6.11,7.2
151,beira,60,MZ,1586623202,74,-19.84,34.84,23.13,2.5
152,vila franca do campo,20,PT,1586623465,67,37.72,-25.43,17.0,9.3
153,komsomolskiy,90,UZ,1586623222,82,40.43,71.72,13.0,3.1
154,bethel,75,US,1586623468,36,41.37,-73.41,10.56,7.2
155,khatanga,64,RU,1586623171,92,71.97,102.5,-17.49,4.63
156,sitka,1,US,1586623174,69,57.05,-135.33,2.0,0.37
157,leverkusen,5,DE,1586623471,28,51.03,7.0,24.44,2.1
158,victoria,40,HK,1586622959,94,22.29,114.16,21.0,5.1
159,constantine,40,DZ,1586623467,59,36.37,6.61,18.0,2.1
160,palmer,40,US,1586623281,31,42.16,-72.33,10.0,11.3
161,chokurdakh,100,RU,1586623164,97,70.63,147.92,-2.69,6.42
162,kanniyakumari,1,IN,1586623146,70,8.08,77.57,29.23,4.8
163,fortuna,90,US,1586623173,93,40.6,-124.16,11.67,4.85
164,lompoc,75,US,1586623151,82,34.64,-120.46,17.22,5.1
165,port elizabeth,100,ZA,1586623088,52,-33.92,25.57,19.0,1.5
166,nikolskoye,20,RU,1586622923,64,59.7,30.79,4.0,7.0
167,leningradskiy,100,RU,1586623191,84,69.38,178.42,-13.42,1.84
168,ilulissat,75,GL,1586622933,51,69.22,-51.1,3.0,4.6
169,nanortalik,95,GL,1586623472,69,60.14,-45.24,4.06,12.3
170,brae,97,GB,1586623188,81,60.4,-1.35,9.0,9.8
171,port lincoln,59,AU,1586622965,66,-34.73,135.87,13.27,4.18
172,tezu,0,IN,1586623472,30,27.92,96.17,22.65,1.69
173,ghanzi,79,BW,1586623472,41,-21.57,21.78,22.63,2.39
